N050AA,"","","","",
N051AA,"","","","",
N052AA,"","","","",
N054AA,"","","","",
N055AA,"","","","",
N056AA,"","","","",
N057AA,"","","","",
N058AA,"","","","",
N059AA,"","","","",
N060AA,"","","","",
N061AA,"","","","",
N062AA,"","","","",
N063AA,"","","","",
N064AA,"","","","",
N065AA,"","","","",
N066AA,"","","","",
N067AA,"","","","",
N068AA,"","","","",
N069AA,"","","","",
N070AA,"","","","",
N071AA,"","","","",
N072AA,"","","","",
N073AA,"","","","",
N074AA,"","","","",
N075AA,"","","","",
N076AA,"","","","",
N077AA,"","","","",
N078AA,"","","","",
N079AA,"","","","",
N080AA,"","","","",
N081AA,"","","","",
N082AA,"","","","",
N083AA,"","","","",
N084AA,"","","","",
N10156,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N102UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1998
N10323,BOEING,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N103US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N104UA,BOEING,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1998
N104UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N10575,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N105UA,BOEING,747-451,Fixed Wing Multi-Engine,Turbo-Jet,1994
N105UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N106US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N107UA,BOEING,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1998
N107US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N108UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N109UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N110UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11106,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11107,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11109,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11113,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11119,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11121,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11127,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11137,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11140,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11150,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11155,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11164,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11165,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11176,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11181,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11184,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11187,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11189,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11191,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11192,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11193,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11194,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11199,EMBRAER,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N111US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11206,BOEING,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2000
N112US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N113UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N114UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11526,EMBRAER,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11535,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11536,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11539,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11544,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11547,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11548,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11551,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11565,EMBRAER,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11612,BOEING,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N11641,BOEING,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11651,BOEING,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11656,BOEING,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N116UA,BOEING,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1998
N117UA,BOEING,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N117UW,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N118US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N119UA,BOEING,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N119US,AIRBUS INDUSTRIE,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1200K,BOEING,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1998
N1201P,BOEING,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1998
N120UA,BOEING,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
